Timestamp	Reason to Travel	Important Factors for Trip Planning	Most Important Factor for Trip Planning	Have you traveled outside of your home country before?	Favorite Destination	Why was it your favorite?	Favorite Activities	How many people did you travel with?	Overall, how satisfied were you with your favorite destination?	Least Favorite Destination	Why was it your least favorite?	Least Favorite Activitie	How many people did you travel with?	Overall, how satisfied were you with your LEAST favorite destination?	Most Appealing Destination	Ideal Group Size	Are you comfortable flying on a plane?	Gender	Student	Have you been on exchange in the past or plan on going in the future?	If you answered yes to above, which city were you going to go to?	Openness	Conscientiousness	Extraversion	Agreeableness	Neuroticism
12/4/2020 1:55:54	To look at and appreciate beautiful places	Budget	Budget	Yes	Switzerland		Snowboard, Hike, Eat local cuisine, drive around the country side	3	7	Oslo, Norway		Clubbing, Eating out, Museum, Exploring local government buildings and museums	3	5	An overnight backpacking trip on a volcano	2	Yes	Male	Yes	Yes	Lund, Sweden	6	6	4	3	2
12/4/2020 2:04:14	To go on an adventure	Time	Time	Yes	Cambodia		Visited temples, experienced new cultures, ate new food	3	7	Paris, France		All the tourist attractions, ate food	3	3	An overnight backpacking trip on a volcano	2	Yes	Male	Yes	No		6	5	3	4	2
12/4/2020 2:07:08	To learn more about a language or a culture	Budget	Budget	Yes	Lisbon, Portugal		Visited tourist destinations, sampled various foods, took the local transit, went on a cruise	1	7	Lille, France		Visited an old bookstore, visited local church and cathedral, tried local foods, explored museum	1	4	A relaxing day at the beach	3	Yes	Male	Yes	Yes	Delft, Netherlands	7	2	5	3	2
12/4/2020 2:11:27	To look at and appreciate beautiful places	Budget	Budget	Yes	Paris		Visiting popular sightseeing locations, eating croissant	2	6	Athens		Visiting sightseeing location	3	2	A big metropolitan city	3	Yes	Male	Yes			2	4	2	5	5
12/4/2020 2:14:38	To go on an adventure	Variety of activities at destination	Variety of activities at destination	Yes	Puerto Vallarta		Explore the city, relax near the beach/pool, fun hikes	2	6	Vancouver, CA		Exploring downtown/shopping, symphony, going to parks	2	4	An old city with interesting architecture	2	Yes	Female	No	No		6	4	3	4	6
12/4/2020 2:15:15	To look at and appreciate beautiful places	Budget	Budget	Yes	California		Hike, Wander, Explore, Eat	2	5	Ontario		Explore, University	5	3	An overnight backpacking trip on a volcano	4	Yes	Male	Yes	No		5	2	2	6	2
12/4/2020 2:15:29	To go on an adventure	Budget	Budget	Yes	Prague		Explored the city, bars, museums	5	7	Kuala Lumpur		Historical landmarks, restaurants, walked around	2	3	An all-inclusive resort	4	Yes	Male	Yes	Yes	Singapore	7	3	3	6	3
12/4/2020 2:16:35	To learn more about a language or a culture	Budget	Budget	Yes	Japan		Urban city tourism, rural heritage tourism, bullet train, temple	4	6	Honestly none? I literally loved every place I've been to. So many unique things to do. Maybe new brunswick?		Drove around national parks, stayed in hotels, nature tourism	4	3	An old city with interesting architecture	4	Yes	Male	Yes	Yes	Hong Kong	7	4	5	6	4
12/4/2020 2:22:22	To learn more about a language or a culture	Variety of activities at destination	Variety of activities at destination	Yes	Barcelona		Lot of architecture exploring (especially by Antoni Gaudi), museums, walks, art galleries	3	6	Paris		Museums, visited Chateau Versaille, Notre Dame	3	4	An overnight backpacking trip on a volcano	2	Yes	Female	Yes	No		7	6	5	5	5
12/4/2020 2:25:39	To see the wonders of nature	Variety of activities at destination but more specifically what climbing is in that area	Variety of activities at destination but more specifically what climbing is in that area	Yes	Delft, Netherlands		Exchange: met a whole whack of new people from all over the place, climbed together, and explored the natural landscape of the Netherlands, close proximity to bomber climbing destinations	1	7	Detroit		work meetings, ate out with colleagues, ran a workshop 	5	4	An overnight backpacking trip on a volcano	2	Yes	Male	Yes	Yes	Delft	4	5	2	3	2
