Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To relax and escape work and responsibilities,Aesthetic of destination,Beach; Explore; Food,A relaxing day at the beach,2,Female,No,6,2,6,6,3,Carribean Islands
To see the wonders of nature; To spend quality time with family/friends; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Budget,Food; Watch Football,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Variety of activities at destination,Food; Meet Locals; City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places,Budget,Road Trip; Beach; Swim; Island; Boat; Shop; Food; Camp; Kayak; Zoo; Skydive; Tattoo; Visit Surrounding Areas; Hike,A hang gliding ride over a lush field,4,Female,Yes,6,2,6,5,3,Australia/New Zealand
To learn more about a language or a culture; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Christmas Market,An old city with interesting architecture,4,Female,Yes,7,6,4,6,4,Austria/Germany
To spend quality time with family/friends; To explore architecture and history; To go on an adventure,Budget,Ski,An old city with interesting architecture,2,Male,Yes,3,6,2,4,4,Austria/Germany
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To look at and appreciate beautiful places,Aesthetic of destination,Sightsee,An old city with interesting architecture,4,Male,Yes,4,6,3,5,6,Austria/Germany
To go on an adventure,Proximity to nature,Relax; Beach,An overnight backpacking trip on a volcano,4,Male,No,6,3,4,4,4,Argentina/Brazil
To look at and appreciate beautiful places,Budget,Hike; Walk; Explore; Food,An overnight backpacking trip on a volcano,4,Male,Yes,5,2,2,6,2,United States
To go on an adventure,Proximity to other destinations,Sunset; Stargaze,An overnight backpacking trip on a volcano,3,Male,Yes,7,4,7,3,2,United States
To relax and escape work and responsibilities; To spend quality time with family/friends; Work or business,Budget,Beach; Concert; Theatre,An all-inclusive resort,3,Male,Yes,6,5,2,4,4,United States
To see the wonders of nature; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Snowboard; Sightsee; Hike; Friends,An all-inclusive resort,5,Male,Yes,6,5,5,5,4,United States
To see the wonders of nature; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Aesthetic of destination,Beach; Food,An old city with interesting architecture,4,Female,Yes,6,2,5,6,7,United States
To go on an adventure,Time,Temple; Culture; Food,An overnight backpacking trip on a volcano,2,Male,Yes,6,5,3,4,2,Vietnam/Cambodia/Thailand
To spend quality time with family/friends,Time,Snowshoe; Food; Sauna; Hike; Party,A hang gliding ride over a lush field,4,Male,Yes,6,6,6,5,6,Canada/Iceland/Russia
To see the wonders of nature; To relax and escape work and responsibilities; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Hike; Bike; Run; Shop; Food,An overnight backpacking trip on a volcano,4,Female,Yes,5,6,6,6,4,Canada/Iceland/Russia
To see the wonders of nature; To spend quality time with family/friends; To go on an adventure,Budget,Hike; Friends,An old city with interesting architecture,3,Female,Yes,2,5,2,6,6,Canada/Iceland/Russia
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places,Variety of activities at destination,Hike; Run; Cafes; Food; Beach; City,An overnight backpacking trip on a volcano,5,Female,Yes,7,5,3,6,3,Canada/Iceland/Russia
To meet new people; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure,Travel group size,Food,A relaxing day at the beach,5,Female,No,5,3,3,5,2,China/Taiwan
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history; To go on an adventure; To look at and appreciate beautiful places; To share travel stories and view with friends and family back home,Aesthetic of destination,Food; Sightsee,A big metropolitan city,2,Female,Yes,4,7,3,5,3,China/Taiwan
To meet new people; To see the wonders of nature; To learn more about a language or a culture; To explore architecture and history; To go on an adventure; To share travel stories and view with friends and family back home,Aesthetic of destination,Food; Meet Locals; City; View; Sky Terrace; Skyscraper; Architecture; Party; Dance Workshops,An overnight backpacking trip on a volcano,4,Female,Yes,7,6,7,4,3,China/Taiwan
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Budget,Shop; Tourist Attractions; Food; Relax; Family,An all-inclusive resort,4,Female,Yes,6,6,7,5,4,Colombia/Ecuador
To see the wonders of nature; To learn more about a language or a culture; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Proximity to nature,Hike; Surf; Swim,An overnight backpacking trip on a volcano,3,Female,Yes,5,5,4,4,4,Mexico/Costa Rica/El Salvador
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To go on an adventure; To look at and appreciate beautiful places,Aesthetic of destination,Hike; Beach; Sightsee; Animals; Cruise; Island; Food,An overnight backpacking trip on a volcano,2,Female,Yes,7,6,3,5,2,Mexico/Costa Rica/El Salvador
To see the wonders of nature; To relax and escape work and responsibilities; To spend quality time with family/friends; To explore architecture and history,Budget,Sightsee; Beach; Relax,An all-inclusive resort,5,Male,Yes,4,6,3,3,2,Carribean Islands
