Main Reason to Travel,Most Important Factor for Trip Planning,Favorite Activity,Most Appealing Destination,Ideal Group Size,Gender,Student,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Recommendation
To relax and escape work and responsibilities,Aesthetic of destination,Beach,A relaxing day at the beach,2,Female,No,6,2,6,6,3,Carribean Islands
To relax and escape work and responsibilities,Aesthetic of destination,Explore,A relaxing day at the beach,2,Female,No,6,2,6,6,3,Carribean Islands
To relax and escape work and responsibilities,Aesthetic of destination,Food,A relaxing day at the beach,2,Female,No,6,2,6,6,3,Carribean Islands
To see the wonders of nature,Budget,Food,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To see the wonders of nature,Budget,Watch Football,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To spend quality time with family/friends,Budget,Food,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To spend quality time with family/friends,Budget,Watch Football,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To look at and appreciate beautiful places,Budget,Food,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To look at and appreciate beautiful places,Budget,Watch Football,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To share travel stories and view with friends and family back home,Budget,Food,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To share travel stories and view with friends and family back home,Budget,Watch Football,An overnight backpacking trip on a volcano,4,Male,Yes,3,6,3,5,2,Argentina/Brazil
To meet new people,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To meet new people,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To meet new people,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To see the wonders of nature,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To see the wonders of nature,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To see the wonders of nature,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To learn more about a language or a culture,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To learn more about a language or a culture,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To learn more about a language or a culture,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To relax and escape work and responsibilities,Variety of activities at destination,Food,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To relax and escape work and responsibilities,Variety of activities at destination,Meet Locals,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
To relax and escape work and responsibilities,Variety of activities at destination,City,A relaxing day at the beach,3,Female,Yes,6,4,7,6,2,Argentina/Brazil
